"Destination","Type","Latitude","Longitude","Website Link","Image Link","ProximalBusStops"
"Suntec City","Shopping",1.295473683,103.8575978,"https://sunteccity.com.sg/","https://a.cdn-hotels.com/gdcs/production38/d1169/a9c2bb3e-9a16-49ce-820e-dbe3b0e6f0a1.jpg","80159,80151,01629,01621,02151,02141,01541,02049,01029,02089,02119,02149,01639,01611,02159,01631"
"Marina Bay Sands Singapore","Shopping",1.284174039,103.8590905,"https://www.marinabaysands.com/","https://upload.wikimedia.org/wikipedia/commons/f/f9/Marina_Bay_Sands_in_the_evening_-_20101120.jpg","03509,03501"
"Haji Ln","Shopping",1.301197501,103.859171,"https://visitkamponggelam.com.sg/street/haji-lane/","https://static.honeykidsasia.com/wp-content/uploads/2020/02/haji-lane-with-kids.jpg","80169,80161,01529,01521,01129,01121,01541,01549,01059,01139,01109,01559,01112"
"Bugis Junction","Shopping",1.299711436,103.8563866,"https://www.capitaland.com/sg/malls/bugisjunction/en.html","https://www.capitaland.com/content/dam/capitaland-media-library/retail/Singapore/Singapore/Bugis%20Junction/Bugis%20Junction%20(2).jpg.transform/cap-midres/image.jpg","80159,80151,01519,01511,01059,01112,01541,01113,07518,07517,01139,07551,01109,01559,01639,01631"
"Jewel Changi Airport","Shopping",1.368704229,103.9911331,"https://www.jewelchangiairport.com/en.html","https://www.burohappold.com/wp-content/uploads/2019/07/Jewel-Changi_02_Tim-Hursley.jpg",""
"Vivocity","Shopping",1.265014613,103.8227382,"https://www.vivocity.com.sg/","https://singaporeforeveryone.com/wp-content/uploads/2023/11/Vivocity-SINGAPORE.jpg","14141,14119,14011,14009"
"Fangko","Food",1.288084352,103.847133,"https://fangko.oddle.me/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhFJndZg2MYv5Ycc3jkueTh2AEx4975WZ7lRoSB2FxTQ&s","04239,04222,05029,05049,05131,05129,04211,04219"
"Le Shrimp Ramen","Food",1.309896299,103.7944079,"https://www.paradisegp.com/le-shrimp-ramen/","https://danielfooddiary.com/wp-content/uploads/2018/12/leshrimp12.jpg","11181,11189,11401,11419,11389,11379,11261,11269,11381"
"One Fattened Calf","Food",1.300120509,103.7883658,"https://www.onefattenedcalf.com/","https://ucarecdn.com/acb67e62-4a5f-4081-9729-269cc3395b95/","18121,18149,18119,18129,18159,18111,18051"
"Fat Cow","Food",1.303539872,103.8240184,"https://www.fatcow.com.sg/","https://images.squarespace-cdn.com/content/v1/603f29f8c9abde7476f172b3/34c42322-e61c-4272-80fa-6ed3070d0089/fc+landing+ext+1280.jpg","09131,09159,13201,09191,09139"
"Bonding Kitchen","Food",1.300716424,103.839416,"https://bondingkitchen.com/","https://sethlui.com/wp-content/uploads/2020/11/bonding-kitchen-30.jpg","09038,08121,08138,08137"
"Brother's Ramen","Food",1.276258232,103.8463331,"https://www.facebook.com/BrosRamen/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYLpwjhBgusEVTFCNqMDarWFAakNwPU5dkanUHsHuOSg&s","03217,03111,03239,03223,05429,05421,03218,03241"
"Gotti","Food",1.28077607,103.8472274,"https://www.gotti.sg/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZWIU65nM5vD9WKwR1aSLg-Z5yR8zFMQFQthD758FLeA&s","03129,03071,03111,05131,03151,05269,05271,05189"
"GelatiAmo OneNorth","Food",1.299132294,103.7877463,"https://www.gelatiamosg.com/","https://s3.burpple.com/foods/trimmed_16463895101930419_original.png?1646389514","18121,18129,18159,18119,18111,18079,18051,18149"
"Sugarhall","Food",1.282604191,103.85083,"https://www.sugarhall.sg/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTS92JqO4ttriv0yxaVDfYmV0xUFGxRT33ypplE1lXJzg&s","03059,03031,03529,03381,03021,03041"
"Dumpling Darlings","Food",1.280748326,103.8473282,"https://www.dumplingdarlings.com.sg/","https://images.squarespace-cdn.com/content/v1/5c09e297f79392bd905a10c6/1544613543388-LTKU1W5QLMGSLA16CRQI/DSC09548+copy.JPG","03129,03071,03111,05131,03151,05269,05271,05189"
"Ah Er Herbal Soup","Food",1.295353676,103.8254142,"https://palettebar.com/ahersoup/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRG8lc2t6uF7fnYxd5_6KliD1ajWi_76VOFrtb9JJmHOw&s","13059,13051,13179,13171"
"Poon Nah City Home Made Noodle","Food",1.314837177,103.8939307,"https://www.facebook.com/poonnahcity/","https://images.deliveryhero.io/image/fd-sg/LH/ujds-hero.jpg?width=512&height=384&quality=45","82011,82109,82119,82091,81051,81069,82029,82231,82111,81139,81131"
"Cherry Garden","Food",1.290905321,103.858547,"https://www.mandarinoriental.com/en/singapore/marina-bay/dine/cherry-garden","https://www.ourparentingworld.com/wp-content/uploads/2021/01/Cherry-Garden-Mandarin-Oriental-Singapore-5.png","02119,02111,02029,02171,02051,02089,02151"
