"BusStopCode","RoadName","Description","Latitude","Longitude"
"11201","Holland Rd","CSC Dempsey Clubhse",1.30692642897557,103.811864535774
"11209","Holland Rd","Opp Peirce Rd",1.30817280849852,103.810383498176
"11211","Holland Rd","Aft Peirce Rd",1.30838779885113,103.80939522851
"11219","Holland Rd","Great Eastern Mansions",1.30988506093033,103.807164078301
"11221","Holland Rd","Lien Twrs",1.310019,103.805506
"11229","Holland Rd","Sommerville Pk",1.31060065879064,103.805225422272
"11231","Holland Rd","Aft Hyll on Holland",1.31115316310297,103.80119919778
"11239","Holland Rd","Fairlodge",1.31152857401616,103.801655173303
"11259","Holland Dr","Opp Blk 21",1.31119887945564,103.792740022134
"11261","Holland Rd","Holland Village",1.31223168432152,103.794446218385
"11269","Holland Rd","Opp Holland Village",1.31256112590195,103.794537966974
"11271","Holland Rd","Aft East Sussex Lane",1.31473444398294,103.790084166998
"11279","Holland Rd","Aft Coronation Rd West",1.31466878886978,103.790692597681
"11281","Holland Rd","Aft Tan Boon Chong Ave",1.31622694399746,103.788521943991
"11289","Holland Rd","Opp Tan Boon Chong Ave",1.31618891387774,103.789043425179
"11291","Holland Rd","Cold Storage Jelita",1.31792777802094,103.785923333009
"11299","Holland Rd","Opp Cold Storage Jelita",1.31826975603165,103.785588436802
"11301","Sixth Ave","Hse No. 578",1.31803972093441,103.787900677163
"11309","Sixth Ave","Hse No. 589",1.31862443850443,103.788429935262
"11311","Sixth Ave","Hse No. 532",1.31989638898836,103.789186944023
"11319","Sixth Ave","Opp Hse No. 516",1.3203063798654,103.789599706248
"11321","Sixth Ave","Opp Regent Villa",1.32123138902898,103.790103610985
"11329","Sixth Ave","Regent Villa",1.32236139685053,103.790980940084
"11331","Sixth Ave","Opp Dynasty Gdn II",1.32320918827361,103.791446685756
"11339","Sixth Ave","Dynasty Lodge",1.32398638897489,103.792047221989
"11341","Sixth Ave","Garlick Ville",1.32551506183496,103.792827908943
"11349","Sixth Ave","Opp Garlick Ville",1.325628,103.79304
"11351","Ghim Moh Rd","Blk 13",1.30934571218561,103.789451127752
"11359","Ghim Moh Rd","Opp Blk 13",1.30931022636473,103.789686083471
"11361","Nth Buona Vista Rd","Buona Vista Stn Exit C",1.30649698638726,103.790581235424
"11369","Nth Buona Vista Rd","Buona Vista Stn Exit D",1.3063259638605,103.790848277415
"11379","Nth Buona Vista Rd","Buona Vista Ter",1.30917002463976,103.792363231286
"11381","Holland Dr","Blk 10A",1.30841137865065,103.793282941023
"11389","Holland Dr","Buona Vista CC",1.30906501014268,103.792932168781
"11401","Holland Ave","Holland V Stn/Blk12",1.30906722197973,103.795074444021
"11409","Holland Ave","Blk 9",1.3076441670056,103.79432583302
"11419","Holland Ave","Holland V Stn Exit A",1.31102981378085,103.796043992027
"11429","C'wealth Dr","Opp Blk 115B",1.30454000002017,103.798363332998
"11439","C'wealth Dr","Blk 92",1.30606472198412,103.800297778015
"11441","C'wealth Dr","Blk 58",1.29780416697573,103.797540556032
"11449","C'wealth Dr","Blk 37B",1.29840527801842,103.797603333023
"11451","C'wealth Dr","Blk 72",1.30034972200468,103.797072778015
"11459","C'wealth Dr","Blk 50",1.30097055597804,103.796851943996
"11469","Margaret Dr","Queensway Sec Sch",1.30113503392421,103.801885843269
"11471","Margaret Dr","Opp The Fisherman Ch",1.29951892595663,103.803151566066
"11481","Margaret Dr","Queenstown Lib",1.29811518922625,103.806005403545
"11489","Margaret Dr","Blk 30",1.298817,103.804395
"11491","Margaret Dr","Opp Queenstown Pr Sch",1.29710202847016,103.8076364994
"11499","Margaret Dr","Queenstown Pr Sch",1.29685053610951,103.807886633345
"11511","Alexandra Rd","Alexandra Hosp",1.2859468736223,103.802518844624
"11519","Alexandra Rd","Opp Queensway Shop Ctr",1.28665742231261,103.803341294253
"11521","Alexandra Rd","Anchorpoint",1.2885710102662,103.805430030472
"11529","Alexandra Rd","Bef IKEA Ind Bldg",1.28903120647732,103.806090930528
"11531","Alexandra Rd","Opp Lea Hin Hardware Fty",1.29108833302538,103.807530833028
"11539","Alexandra Rd","Lea Hin Hardware Fty",1.29117049549107,103.807861804987
"11541","Stirling Rd","Opp Queens",1.29235984013148,103.805785001398
"11551","Stirling Rd","Tiong Ghee Tp",1.29126703051517,103.804095983525
"11561","Stirling Rd","Blk 166",1.29107396045212,103.802475929243
"11579","Mei Ling St","Blk 158",1.29256489056942,103.803033212522
"11589","Mei Ling St","Blk 157",1.292991881006,103.804005249958
"11599","Mei Ling St","Blk 153",1.29420805600708,103.803148889006
"11609","Mei Chin Rd","Blk 163",1.29188972202709,103.802121944018
