Destination,Type,Latitude,Longitude, Website Link, Image Link
Dumpling Darlings,Food,1.280748326,103.8473282, https://www.dumplingdarlings.com.sg/, https://images.squarespace-cdn.com/content/v1/5c09e297f79392bd905a10c6/1544613543388-LTKU1W5QLMGSLA16CRQI/DSC09548+copy.JPG 
Ah Er Herbal Soup,Food,1.295353676,103.8254142, https://palettebar.com/ahersoup/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRG8lc2t6uF7fnYxd5_6KliD1ajWi_76VOFrtb9JJmHOw&s 
Poon Nah City Home Made Noodle,Food,1.314837177,103.8939307, https://www.facebook.com/poonnahcity/, https://images.deliveryhero.io/image/fd-sg/LH/ujds-hero.jpg?width=512&height=384&quality=45 
Cherry Garden,Food,1.290905321,103.858547, https://www.mandarinoriental.com/en/singapore/marina-bay/dine/cherry-garden, https://www.ourparentingworld.com/wp-content/uploads/2021/01/Cherry-Garden-Mandarin-Oriental-Singapore-5.png 
Bijin Nabe,Food,1.35643532,103.8355266, https://www.tsukadanojosg.com/,https://scontent.cdninstagram.com/v/t51.29350-15/281260288_683753979348342_6338691270492507482_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=UOCmYoSkmWcAb7oVRUK&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfBQJBD52J1WiD6N61V97BjCqefu-Mc3snnzkmqtG6-dZg&oe=66135C18
Pietrasanta The Italian Restaurant,Food,1.298849448,103.7887758, https://casapietrasanta.com/, https://casapietrasanta.com/wp-content/uploads/2022/12/food-1024x896.jpg 
Chef Wei HK Cheong Fun,Food,1.352133865,103.7245893, https://www.facebook.com/chefweihkcheongfun/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCjoZ2PHcANZK8yzm0MY-nYJ1HX6IJD4pxBLjqoXqmKw&s 
Chuan Kee Boneless Braised Duck,Food,1.311271212,103.7887283, https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/chuan-kee-boneless-braised-duck, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2CcpPGlomIDzN9pki5BOTtt00R2mlqWG-Zbc-frLqvA&s 
Greenwood Fish Market,Food,1.331978491,103.8067344, https://www.greenwoodfishmarket.com/, https://www.greenwoodfishmarket.com/wp-content/gallery/quayside-isle/Cold-Seafood-Platter-Seaside.jpg 
Imperial Treasure Fine Teochew Cuisine,Food,1.304180268,103.8326705, https://www.imperialtreasure.com/restaurant/ImperialTreasureFineTeochewCuisine-4, https://www.imperialtreasure.com/resources/album/imperial-treasure-fine-teochew-cuisine/Website_Gallery_Duck_1400X1400.png 
526 BBQ Seafood,Food,1.348019838,103.7177681, https://www.facebook.com/526bbqseafood/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZdK2PVbGf4q_RKOW8q16u3RcRCTC5VLFn2C84wsMGIg&s 
Ghee Huat,Food,1.345836161,103.713715,https://www.burpple.com/ghee-huat-fried-oyster,"https://scontent.cdninstagram.com/v/t51.29350-15/255607824_2660503854245993_1545799734236998095_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=yIwnnZLTG0YAX_WgXSR&_nc_oc=Adgq-_G7b349aiHdGePDlQA3f75XZBR8XGCMuj8Ietf7LpxeoYmTXQ3ZmmNRYJDknwNg3VtL0jip-OOz5jJDo0hf&_nc_ht=scontent.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AfCAvzGxiAs1j5902B8NERUQdt7lWhRbdFjn0NkNriUklA&oe=6613674E
https://scontent.cdninstagram.com/v/t51.29350-15/255607824_2660503854245993_1545799734236998095_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=yIwnnZLTG0YAX_WgXSR&_nc_oc=Adgq-_G7b349aiHdGePDlQA3f75XZBR8XGCMuj8Ietf7LpxeoYmTXQ3ZmmNRYJDknwNg3VtL0jip-OOz5jJDo0hf&_nc_ht=scontent.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AfCAvzGxiAs1j5902B8NERUQdt7lWhRbdFjn0NkNriUklA&oe=6613674E
"
Li Bai,Food,1.312138064,103.8369556, https://www.libaisaigon.com/en/, https://www.libaisaigon.com/en/resourcefiles/homeimages/dim-sum-at-li-bai.jpg 
Ah Heng Curry Chicken Bee Hoon Mee,Food,1.285366026,103.8471466, https://www.facebook.com/AhHengChickenCurryNoodles/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-Xv80Zzeg7fDr8Eiq0k4x8BAdcqEy52xA1LIjhvkpIw&s 
Igokochi Dining Bar,Food,1.316259193,103.7582593, https://www.igokochi.com.sg/, https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhJPgC5Nm-IZB6USAmlXN58F5veE7mi4nLJy9BHeA-OfxCzYFjiKx8LW6CbBidPbUzxyNbLb5AVHkIQ3-ciqjAdYNwEZNWj5Btj8HQTy8GIMusUjVsgWJS_hC5wz2vkrqO3aGchtqtIeTw/w640-h432/igokochi+dining+bar+singapore+restaurant+west+coast+newest+mall+3.jpg 
A-Roy Thai Restaurant,Food,1.320150268,103.8443475, https://aroythai.com.sg/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToBUFWjjdB1qp0qfL83Za8xYB7MXY5XNNFjjJE_COCow&s 
FeatherBlade,Food,1.278567522,103.8433329, https://www.thefeatherblade.com/, https://therantingpanda.files.wordpress.com/2021/12/eimg_3050.jpg 
Simei Penang Laksa Speciality,Food,1.34520319,103.731728, https://singaporefoodie.com/simei-penang-laksa-specialty-at-yuhua-place/, https://burpple-2.imgix.net/foods/dc7bf44a71e2dd3f001731963_original.?w=420&dpr=1&fit=crop&q=80&auto=format 
Jia Mei Bakery,Food,1.308457247,103.8865908, https://www.burpple.com/jia-mei-bakery, https://burpple-2.imgix.net/foods/60bd45ec1cb4dcec3ac1851412_original.?w=420&dpr=1&fit=crop&q=80&auto=format 
Man Man Japanese Unagi Restaurant,Food,1.279043017,103.8420947, https://manmanunagi.oddle.me/,https://scontent.cdninstagram.com/v/t51.29350-15/200872938_247943853759187_1381705352913083043_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=oyZwgWmZjEMAb4nGmpC&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfCsAl2OK-kpYj0SfZXMWT2R5lejkwWjUxnfU4PF8x2u0Q&oe=66137B31
Trattoria Nonna Lina,Food,1.27870537,103.8413938, https://www.nonnalina.sg/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStYkqu7eDuzzlDkCIauds394tCbBemXnJTPt_Rp3zRiA&s 
The Carving Board,Food,1.343804661,103.7386608, https://thecarvingboard.oddle.me/,https://scontent.cdninstagram.com/v/t51.29350-15/175141343_913021739259103_5653948717814664188_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=EiF6v3dGSFsAb7mxQRH&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfByBq0OmkrzMD5m1hL0JFipSl9vEhKMV8DtVSSuuojX-Q&oe=661348CB
Hill Street Tai Hwa Pork Noodle,Food,1.305383925,103.8631794, https://taihwa.com.sg/, https://taihwa.com.sg/img-vCDN/QzlrM0Q0VVJjOSt1Nm5mcDhmZncxWDdYMk81WE1EOHV6aHZ1bS9odnp6b2tuNjAyS3lHNEVIVGE=.orig.webp 
Lighthouse Bistro,Food,1.308785919,103.8633031, http://www.lighthouse-sg.com/, https://admin.misstamchiak.com/wp-content/uploads/2015/10/DSCF3617.jpg 
Atlas Coffeehouse,Food,1.323032864,103.8127106, https://www.atlascoffeehouse.com.sg/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmIeXF_GQm5k6G_GMPNi5ueKsBI4n9pxMljNbUvVrruw&s 
Tanuki Raw,Food,1.36054136,103.9902857, https://tanukiraw.com/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx3Km0Vf0D6Rn_drKfjxtkM5MPZQWMnUpbkhBko2Hmew&s 
